Section,Subsection,Field,Type,Option,Price,Price_large,Pricing,Applicable,Feature,Build Type,Duplicate,Quantity,Image URL
Structural,Structural,Higher Sidewall for Wooden Buildings,numeric,,4.6,4.8,ln_ft,"small, large",Non-vinyl,,,,
Structural,Structural,Higher Sidewall for Vinyl Buildings,numeric,,6,6,ln_ft,"small, large",vinyl,,,,
Structural,Structural,16 OC,checkbox,,3,,percent,small,,,,,
Structural,Structural,Roof Pitch,numeric,,0.85,0.8,sq_ft,"small, large",,,,,
Structural,Structural,Runner Upgrade,check_price,,,,len,small,,,,,
Structural,Structural,4x4 Runner,numeric,,2.05,,len,small,,,,,
Structural,Structural,4x6 Runner,numeric,,3.35,,len,"small, large",,,,,
Structural,Custom,Custom Field,text,,,,each,"small, large",,,,,
Doors,Default Doors,Default Door,radio,"36"" 9-lite Steel Entry Door",0,0,each,large,,,,,
Doors,Default Doors,Default Door,radio,No Door,0,0,each,large,,,,,
Doors,Default Doors,Double Door Set,radio,4',175,175,each,small,,,,,4 double door.png
Doors,Default Doors,Double Door Set,radio,5',175,175,each,small,,,,,5 double door.png
Doors,Default Doors,Double Door Set,radio,6',245,245,each,small,,,,,6 double door.png
Doors,Default Doors,Double Door Set,radio,7',245,245,each,small,,,,,7 double door.png
Doors,Default Doors,Double Door Set,radio,No Door,175,175,each,"small, large",,,,,
Doors,Default Doors,Man Door,radio,"30""",95,90,each,small,,,,,small door swing left.png
Doors,Default Doors,Man Door,radio,"36""",95,90,each,small,,,,,small door swing left.png
Doors,Default Doors,Man Door,radio,No Door,95,95,each,small,,,,,
Doors,Extra Doors,"30""",numeric,,95,95,each,"small, large",,,,,
Doors,Extra Doors,"36""",numeric,,95,95,each,"small, large",,,,,
Doors,Extra Doors,4',numeric,,175,175,each,"small, large",,,,,4 double door.png
Doors,Extra Doors,5',numeric,,175,175,each,"small, large",,,,,5 double door.png
Doors,Extra Doors,6',numeric,,245,245,each,"small, large",,,,,6 double door.png
Doors,Extra Doors,7',numeric,,245,245,each,"small, large",,,,,7 double door.png
Doors,Extra Doors,10'W x 7'H Sliding Wooden Door,numeric,,,695,each,large,,,,,
Doors,Extra Doors,10'w x 7'H Sliding Wooden Door with Transom,numeric,,,940,each,large,,,,,
Doors,Extra Doors,"90"" Triple Door System",numeric,,,615,each,large,,,,,triple door.png
Doors,Extra Doors,"108"" Triple Door System",numeric,,,615,each,large,,,,,
Doors,Steel Entry Door,"36"" 6-Panel Steel Entry Door",numeric,,370,,each,"small, large",,,,,
Doors,Steel Entry Door,"36"" 9-lite Steel Entry Door",numeric,,430,,each,"small, large",,,,,
Doors,Steel Entry Door,"36"" 15-lite Steel Entry Door",numeric,,640,,each,"small, large",,,,,
Doors,Steel Entry Door,"36"" 6-lite Steel Entry Door w/ Dentil Shelf",numeric,,850,,each,"small, large",,,,,
Doors,Steel Entry Door,"72"" 6-panel Steel Entry Door",numeric,,740,,each,"small, large",,,,,
Doors,Steel Entry Door,"72"" 9-lite Steel Entry Door",numeric,,995,,each,"small, large",,,,,
Doors,Steel Entry Door,"72"" 15-lite Steel Entry Door",numeric,,1195,,each,"small, large",,,,,
Doors,Door Add-Ons,Dead Bolt,numeric,,50,,each,"small, large",,,,,
Doors,Door Add-Ons,Cane Bolt,numeric,,20,,each,small,,,,,
Doors,Overhead Door,8'W x 7'H Overhead Door,select,8'W x 7'H Overhead Door - Non-Insulated,830,,each,"small, large",,,,,8x7 garage door.png
Doors,Overhead Door,8'W x 7'H Overhead Door,select,8'W x 7'H Overhead Door - Economy Insulated,935,,each,"small, large",,,,,8x7 garage door.png
Doors,Overhead Door,8'W x 7'H Overhead Door,select,8'W x 7'H Overhead Door - Standard Insulated,1130,,each,"small, large",,,,,8x7 garage door.png
Doors,Overhead Door,8'W x 7'H Overhead Door,select,8'W x 7'H Overhead Door - Carriage House Style,1705,,each,"small, large",,,,,8x7 garage door.png
Doors,Overhead Door,"Window Lites for Non, Economy, or Standard Insulated Doors",numeric,,250,,each,"small, large",,,TRUE,,
Doors,Overhead Door,9'W x 7'H Overhead Door,select,9'W x 7'H Overhead Door - Non-Insulated,860,,each,"small, large",,,,,9x7 garage door.png
Doors,Overhead Door,9'W x 7'H Overhead Door,select,9'W x 7'H Overhead Door - Economy Insulated,995,,each,"small, large",,,,,9x7 garage door.png
Doors,Overhead Door,9'W x 7'H Overhead Door,select,9'W x 7'H Overhead Door - Standard Insulated,1215,,each,"small, large",,,,,9x7 garage door.png
Doors,Overhead Door,9'W x 7'H Overhead Door,select,9'W x 7'H Overhead Door - Carriage House Style,1790,,each,"small, large",,,,,9x7 garage door.png
Doors,Overhead Door,"Window Lites for Non, Economy, or Standard Insulated Doors",numeric,,250,,each,"small, large",,,TRUE,,
Doors,Overhead Door,9'W x 8'H Overhead Door,select,9'W x 8'H Overhead Door - Non-Insulated,1000,,each,"small, large",,,,,
Doors,Overhead Door,9'W x 8'H Overhead Door,select,9'W x 8'H Overhead Door - Economy Insulated,1125,,each,"small, large",,,,,
Doors,Overhead Door,9'W x 8'H Overhead Door,select,9'W x 8'H Overhead Door - Standard Insulated,1305,,each,"small, large",,,,,
Doors,Overhead Door,9'W x 8'H Overhead Door,select,9'W x 8'H Overhead Door - Carriage House Style,1890,,each,"small, large",,,,,
Doors,Overhead Door,"Window Lites for Non, Economy, or Standard Insulated Doors",numeric,,250,,each,"small, large",,,TRUE,,
Doors,Overhead Door,10'W x 7'H Overhead Door,select,10'W x 7'H Overhead Door - Non-Insulated,990,,each,"small, large",,,,,
Doors,Overhead Door,10'W x 7'H Overhead Door,select,10'W x 7'H Overhead Door - Economy Insulated,1115,,each,"small, large",,,,,
Doors,Overhead Door,10'W x 7'H Overhead Door,select,10'W x 7'H Overhead Door - Standard Insulated,1300,,each,"small, large",,,,,
Doors,Overhead Door,10'W x 7'H Overhead Door,select,10'W x 7'H Overhead Door - Carriage House Style,1880,,each,"small, large",,,,,
Doors,Overhead Door,"Window Lites for Non, Economy, or Standard Insulated Doors",numeric,,305,,each,"small, large",,,TRUE,,
Doors,Overhead Door,10'W x 8'H Overhead Door,select,10'W x 8'H Overhead Door - Non-Insulated,1070,,each,"small, large",,,,,
Doors,Overhead Door,10'W x 8'H Overhead Door,select,10'W x 8'H Overhead Door - Economy Insulated,1245,,each,"small, large",,,,,
Doors,Overhead Door,10'W x 8'H Overhead Door,select,10'W x 8'H Overhead Door - Standard Insulated,1390,,each,"small, large",,,,,
Doors,Overhead Door,10'W x 8'H Overhead Door,select,10'W x 8'H Overhead Door - Carriage House Style,1970,,each,"small, large",,,,,
Doors,Overhead Door,"Window Lites for Non, Economy, or Standard Insulated Doors",numeric,,305,,each,"small, large",,,TRUE,,
Doors,Overhead Door,12'W x 7'H Overhead Door,select,12'W x 7'H Overhead Door - Non-Insulated,1150,,each,"small, large",,,,,
Doors,Overhead Door,12'W x 7'H Overhead Door,select,12'W x 7'H Overhead Door - Economy Insulated,1265,,each,"small, large",,,,,
Doors,Overhead Door,12'W x 7'H Overhead Door,select,12'W x 7'H Overhead Door - Standard Insulated,1555,,each,"small, large",,,,,
Doors,Overhead Door,12'W x 7'H Overhead Door,select,12'W x 7'H Overhead Door - Carriage House Style,2390,,each,"small, large",,,,,
Doors,Overhead Door,"Window Lites for Non, Economy, or Standard Insulated Doors",numeric,,375,,each,"small, large",,,TRUE,,
Doors,Overhead Door,12'W x 8'H Overhead Door,select,12'W x 8'H Overhead Door - Non-Insulated,1285,,each,"small, large",,,,,
Doors,Overhead Door,12'W x 8'H Overhead Door,select,12'W x 8'H Overhead Door - Economy Insulated,1430,,each,"small, large",,,,,
Doors,Overhead Door,12'W x 8'H Overhead Door,select,12'W x 8'H Overhead Door - Standard Insulated,1680,,each,"small, large",,,,,
Doors,Overhead Door,12'W x 8'H Overhead Door,select,12'W x 8'H Overhead Door - Carriage House Style,2510,,each,"small, large",,,,,
Doors,Overhead Door,"Window Lites for Non, Economy, or Standard Insulated Doors",numeric,,375,,each,"small, large",,,TRUE,,
Doors,Overhead Door,16'W x 7'H Overhead Door,select,16'W x 7'H Overhead Door - Non-Insulated,1270,,each,"small, large",,,,,
Doors,Overhead Door,16'W x 7'H Overhead Door,select,16'W x 7'H Overhead Door - Economy Insulated,1465,,each,"small, large",,,,,
Doors,Overhead Door,16'W x 7'H Overhead Door,select,16'W x 7'H Overhead Door - Standard Insulated,1695,,each,"small, large",,,,,
Doors,Overhead Door,16'W x 7'H Overhead Door,select,16'W x 7'H Overhead Door - Carriage House Style,2750,,each,"small, large",,,,,
Doors,Overhead Door,"Window Lites for Non, Economy, or Standard Insulated Doors",numeric,,490,,each,"small, large",,,TRUE,,
Doors,Overhead Door,16'W x 8'H Overhead Door,select,16'W x 8'H Overhead Door - Non-Insulated,1420,,each,"small, large",,,,,
Doors,Overhead Door,16'W x 8'H Overhead Door,select,16'W x 8'H Overhead Door - Economy Insulated,1640,,each,"small, large",,,,,
Doors,Overhead Door,16'W x 8'H Overhead Door,select,16'W x 8'H Overhead Door - Standard Insulated,1885,,each,"small, large",,,,,
Doors,Overhead Door,16'W x 8'H Overhead Door,select,16'W x 8'H Overhead Door - Carriage House Style,2940,,each,"small, large",,,,,
Doors,Overhead Door,"Window Lites for Non, Economy, or Standard Insulated Doors",numeric,,490,,each,"small, large",,,TRUE,,
Doors,Overhead Door Add-Ons,Overhead Door Opener w/ One Remote,numeric,,395,,each,"small, large",,,,,
Doors,Overhead Door Add-Ons,Additional Remote,numeric,,50,,each,"small, large",,,,,
Doors,Custom,Custom Field,text,,,,each,"small, large",,,,,
Windows,Windows,2' x 2' Single Hung with screen & grids,select,2' x 2' Single Hung with screen & grids - White,85,85,each,"small, large",,,,,2x3 window.png
Windows,Windows,2' x 2' Single Hung with screen & grids,select,2' x 2' Single Hung with screen & grids – Brown,85,85,each,"small, large",,,,,2x3 window.png
Windows,Windows,2' x 3' Single Hung with screen & grids,select,2' x 3' Single Hung with screen & grids - White,95,95,each,"small, large",,,,,2x3 window.png
Windows,Windows,2' x 3' Single Hung with screen & grids,select,2' x 3' Single Hung with screen & grids - Brown,95,95,each,"small, large",,,,,2x3 window.png
Windows,Windows,2' x 4' Single Hung with screen & grids,select,2' x 4' Single Hung with screen & grids - White,130,125,each,"small, large",,,,,2x3 window.png
Windows,Windows,2' x 4' Single Hung with screen & grids,select,2' x 4' Single Hung with screen & grids - Brown,130,125,each,"small, large",,,,,2x3 window.png
Windows,Windows,2' x 3' Window with Transom,select,2' x 3' Window with Transom - White,160,160,each,"small, large",,,,,2x3 taw.png
Windows,Windows,2' x 3' Window with Transom,select,2' x 3' Window with Transom - Brown,160,160,each,"small, large",,,,,2x3 taw.png
Windows,Windows,2' x 3' Vinyl SINGLE HUNG Window with screen & grids,select,2' x 3' Vinyl SINGLE HUNG Window with screen & grids - White,195,200,each,"small, large",,,,,2x3 window.png
Windows,Windows,2' x 3' Vinyl SINGLE HUNG Window with screen & grids,select,2' x 3' Vinyl SINGLE HUNG Window with screen & grids - Almond,245,235,each,"small, large",,,,,2x3 window.png
Windows,Windows,2' x 3' Vinyl SINGLE HUNG Window with screen & grids,select,2' x 3' Vinyl SINGLE HUNG Window with screen & grids - Clay,245,235,each,"small, large",,,,,2x3 window.png
