"Style","Width","Length","Feature","SQ FT","Post Amount","Pitch","Beam Height","Color - Option","Pine Staining - Option","Duratemp Staining - Option","Duratemp Painting - Option","Pine Painting - Option","Z1 Prebuilt","Z1 AOS","Z2 Prebuilt","Z2 AOS","Z3 Prebuilt","Z3 AOS","Z4 Prebuilt","Z4 AOS","Z5 Prebuilt","Z5 AOS","Z6 Prebuilt","Z6 AOS","Z7 Prebuilt","Z7 AOS","Z1 Duracolumn","Z2 Duracolumn","Z3 Duracolumn","Z4 Duracolumn","Z5 Duracolumn","Z6 Duracolumn","Z7 Duracolumn"
"Timber Ridge",10,10,"Solid Pine",100,4,10,8,"$1,193 ","$1,193 ","$1,193 ","$1,193 ","$1,193 ","N/A","$4,141 ","N/A","$4,326 ","N/A","$4,470 ","N/A","$4,549 ","N/A","$4,627 ","N/A","$4,705 ","N/A","$4,784 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Timber Ridge",10,10,"Solid Cedar",100,4,10,8,"$1,193 ","$1,193 ","$1,193 ","$1,193 ","$1,193 ","N/A","$6,212 ","N/A","$6,489 ","N/A","$6,706 ","N/A","$6,823 ","N/A","$6,941 ","N/A","$7,058 ","N/A","$7,175 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Timber Ridge",10,12,"Solid Pine",120,4,10,8,"$1,238 ","$1,238 ","$1,238 ","$1,238 ","$1,238 ","N/A","$4,553 ","N/A","$4,749 ","N/A","$4,899 ","N/A","$4,977 ","N/A","$5,056 ","N/A","$5,134 ","N/A","$5,212 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Timber Ridge",10,12,"Solid Cedar",120,4,10,8,"$1,238 ","$1,238 ","$1,238 ","$1,238 ","$1,238 ","N/A","$6,829 ","N/A","$7,123 ","N/A","$7,349 ","N/A","$7,466 ","N/A","$7,584 ","N/A","$7,701 ","N/A","$7,819 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Timber Ridge",10,16,"Solid Pine",160,4,10,8,"$1,399 ","$1,399 ","$1,399 ","$1,399 ","$1,399 ","N/A","$5,826 ","N/A","$6,055 ","N/A","$6,225 ","N/A","$6,304 ","N/A","$6,382 ","N/A","$6,460 ","N/A","$6,538 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",10,16,"Solid Cedar",160,4,10,8,"$1,399 ","$1,399 ","$1,399 ","$1,399 ","$1,399 ","N/A","$8,739 ","N/A","$9,082 ","N/A","$9,338 ","N/A","$9,455 ","N/A","$9,573 ","N/A","$9,690 ","N/A","$9,808 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",12,12,"Solid Pine",144,4,10,8,"$1,564 ","$1,564 ","$1,564 ","$1,564 ","$1,564 ","N/A","$4,972 ","N/A","$5,209 ","N/A","$5,398 ","N/A","$5,507 ","N/A","$5,616 ","N/A","$5,725 ","N/A","$5,834 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Timber Ridge",12,12,"Solid Cedar",144,4,10,8,"$1,564 ","$1,564 ","$1,564 ","$1,564 ","$1,564 ","N/A","$7,459 ","N/A","$7,814 ","N/A","$8,097 ","N/A","$8,260 ","N/A","$8,424 ","N/A","$8,587 ","N/A","$8,751 ","$1,390 ","$1,460 ","$1,530 ","$1,601 ","$1,671 ","$1,741 ","$1,811 "
"Timber Ridge",12,16,"Solid Pine",192,4,10,8,"$1,657 ","$1,657 ","$1,657 ","$1,657 ","$1,657 ","N/A","$6,266 ","N/A","$6,537 ","N/A","$6,746 ","N/A","$6,855 ","N/A","$6,964 ","N/A","$7,073 ","N/A","$7,182 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
"Timber Ridge",12,16,"Solid Cedar",192,4,10,8,"$1,657 ","$1,657 ","$1,657 ","$1,657 ","$1,657 ","N/A","$9,400 ","N/A","$9,805 ","N/A","$10,118 ","N/A","$10,282 ","N/A","$10,446 ","N/A","$10,609 ","N/A","$10,773 ","$2,050 ","$2,120 ","$2,190 ","$2,261 ","$2,331 ","$2,401 ","$2,471 "
